R1010J,0,1000,227,786,2149,870,1860
R1010J,0,1000,901,4031,332,1109,1970
R1010J,0,1000,26,838,101,1442,2009
R1010J,1,1000,180,839,5712,1343,2168
R1010J,1,1000,1149,4447,1284,1180,1752
R1010J,1,1000,107,479,300,1099,2027
R1112M,0,500,30,317,409,243,675
R1112M,0,500,66,201,906,175,144
R1112M,0,500,220,750,351,305,431
R1112M,1,500,14,428,770,210,423
R1112M,1,500,29,317,601,51,74
R1112M,1,500,355,945,665,274,445
R1112M,2,500,263,343,0,142,197
R1112M,2,500,140,235,0,217,146
R1112M,2,500,79,295,0,63,211
