ripple_time,subject,session,list,word,category,semantic_clustering_key,recall_position,serialpos,mstime
-1806,R1015J,0,1,COBBLER,Desserts,D,1,10,1421615459993.0
1214,R1015J,0,1,COBBLER,Desserts,D,1,10,1421615459993.0
886,R1015J,0,1,STRAWBERRY,Fruit,Z,2,3,1421615464536.0
-1716,R1015J,0,2,RECLINER,Furniture,Z,1,1,1421615568612.0
-992,R1015J,0,2,RECLINER,Furniture,Z,1,1,1421615568612.0
682,R1015J,0,2,RECLINER,Furniture,Z,1,1,1421615568612.0
-1328,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
1850,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
-292,R1015J,0,3,SPATULA,KitchenTools,I,2,4,1421615678635.0
1566,R1015J,0,5,CROW,Birds,D,1,9,1421616026426.0
-560,R1015J,0,7,PLUM,Fruit,Z,1,2,1421616230653.0
1748,R1015J,0,7,PLUM,Fruit,Z,1,2,1421616230653.0
-490,R1015J,0,8,PANTS,Clothing,Z,1,1,1421616334356.0
1424,R1015J,0,9,COLANDER,KitchenTools,D,1,6,1421616432455.0
-1380,R1015J,0,9,GNAT,Insects,A,2,2,1421616435259.0
-958,R1015J,0,1,COBBLER,Desserts,D,1,10,1421615459993.0
-840,R1015J,0,1,COBBLER,Desserts,D,1,10,1421615459993.0
-958,R1015J,0,1,STRAWBERRY,Fruit,Z,2,3,1421615464536.0
1920,R1015J,0,1,STRAWBERRY,Fruit,Z,2,3,1421615464536.0
528,R1015J,0,2,RECLINER,Furniture,Z,1,1,1421615568612.0
-744,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
-554,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
1332,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
1876,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
1984,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
-810,R1015J,0,3,SPATULA,KitchenTools,I,2,4,1421615678635.0
-266,R1015J,0,3,SPATULA,KitchenTools,I,2,4,1421615678635.0
-158,R1015J,0,3,SPATULA,KitchenTools,I,2,4,1421615678635.0
70,R1015J,0,3,SPATULA,KitchenTools,I,2,4,1421615678635.0
-1940,R1015J,0,5,CROW,Birds,D,1,9,1421616026426.0
-914,R1015J,0,5,CROW,Birds,D,1,9,1421616026426.0
-832,R1015J,0,5,CROW,Birds,D,1,9,1421616026426.0
-1008,R1015J,0,6,SNOW,Weather,D,1,8,1421616130848.0
-190,R1015J,0,6,SNOW,Weather,D,1,8,1421616130848.0
-80,R1015J,0,6,SNOW,Weather,D,1,8,1421616130848.0
-1216,R1015J,0,7,PLUM,Fruit,Z,1,2,1421616230653.0
-816,R1015J,0,7,PLUM,Fruit,Z,1,2,1421616230653.0
-504,R1015J,0,8,PANTS,Clothing,Z,1,1,1421616334356.0
1678,R1015J,0,9,COLANDER,KitchenTools,D,1,6,1421616432455.0
-1126,R1015J,0,9,GNAT,Insects,A,2,2,1421616435259.0
-544,R1015J,0,1,COBBLER,Desserts,D,1,10,1421615459993.0
-2000,R1015J,0,1,STRAWBERRY,Fruit,Z,2,3,1421615464536.0
-1104,R1015J,0,1,STRAWBERRY,Fruit,Z,2,3,1421615464536.0
1800,R1015J,0,3,HEN,FarmAnimals,D,1,1,1421615676493.0
-342,R1015J,0,3,SPATULA,KitchenTools,I,2,4,1421615678635.0
-1900,R1015J,0,7,PLUM,Fruit,Z,1,2,1421616230653.0
8,R1015J,0,8,PANTS,Clothing,Z,1,1,1421616334356.0
128,R1015J,0,8,PANTS,Clothing,Z,1,1,1421616334356.0
-338,R1015J,0,9,COLANDER,KitchenTools,D,1,6,1421616432455.0
958,R1015J,0,9,GNAT,Insects,A,2,2,1421616435259.0
1236,R1015J,0,9,GNAT,Insects,A,2,2,1421616435259.0
